iter	Passed	Remaining
847	3241	581
848	3245	577
849	3249	573
850	3253	569
851	3256	565
852	3259	561
853	3262	557
854	3266	553
855	3269	550
856	3273	546
857	3277	542
858	3281	538
859	3285	534
860	3288	530
861	3292	527
862	3295	523
863	3299	519
864	3303	515
865	3306	511
866	3310	507
867	3314	504
868	3318	500
869	3322	496
870	3326	492
871	3329	488
872	3333	484
873	3337	481
874	3341	477
875	3346	473
876	3351	469
877	3355	466
878	3359	462
879	3363	458
880	3367	454
881	3370	450
882	3374	447
883	3377	443
884	3381	439
885	3385	435
886	3388	431
887	3391	427
888	3396	424
889	3399	420
890	3403	416
891	3406	412
892	3409	408
893	3413	404
894	3417	400
895	3420	397
896	3425	393
897	3428	389
898	3431	385
899	3434	381
900	3437	377
901	3441	373
902	3444	370
903	3447	366
904	3450	362
905	3454	358
906	3457	354
907	3460	350
908	3463	346
909	3466	342
910	3469	338
911	3472	335
912	3475	331
913	3478	327
914	3481	323
915	3485	319
916	3488	315
917	3491	311
918	3494	308
919	3497	304
920	3502	300
921	3506	296
922	3511	292
923	3515	289
924	3518	285
925	3521	281
926	3524	277
927	3528	273
928	3531	269
929	3534	266
930	3537	262
931	3540	258
932	3543	254
933	3547	250
934	3550	246
935	3553	242
936	3556	239
937	3559	235
938	3562	231
939	3565	227
940	3569	223
941	3572	219
942	3575	216
943	3578	212
944	3581	208
945	3584	204
946	3587	200
947	3590	196
948	3594	193
949	3597	189
950	3600	185
951	3603	181
952	3606	177
953	3609	174
954	3612	170
955	3615	166
956	3618	162
957	3622	158
958	3625	155
959	3628	151
960	3633	147
961	3636	143
962	3639	139
963	3642	136
964	3646	132
965	3649	128
966	3653	124
967	3656	120
968	3659	117
969	3665	113
970	3670	109
971	3675	105
972	3679	102
973	3683	98
974	3686	94
975	3690	90
976	3693	86
977	3697	83
978	3701	79
979	3705	75
980	3708	71
981	3712	68
982	3715	64
983	3719	60
984	3722	56
985	3726	52
986	3730	49
987	3734	45
988	3737	41
989	3741	37
990	3744	34
991	3748	30
992	3751	26
993	3755	22
994	3759	18
995	3762	15
996	3766	11
997	3769	7
998	3773	3
999	3777	0
